Portfolio,Start Date,End Date,Total Return (%),CAGR (%),Max Drawdown (%),Recovery Factor,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Volatility (%),Win Rate (%),Profit Factor,Average Profit (%),Average Loss (%),Profit/Loss Ratio,Number of Trades,Number of Periods
top1,2020-01-29 08:00:00,2025-03-06 10:15:00,61283.558040705284,252.05527051714066,-26.442340459352664,2317.629868464585,3.439062458839024,2.621750449986785,9.532260236366053,36.20290633397482,53.0,5.522623497067117,2.913553434998042,-0.594915881635737,4.89742083702178,300,619
top2,2020-02-06 08:00:00,2025-03-07 12:00:00,18382.5969889685,179.30953833552778,-35.608566442633204,516.2408607092786,2.869114491444869,1.7850793301970007,5.035573072687508,37.332571517682936,55.90277777777778,7.866361480014739,2.452908732813604,-0.39530257647022843,6.205142285477466,288,607
top3,2020-02-26 08:00:00,2025-03-06 09:00:00,13913.329449830897,167.46142626384702,-18.68618900182164,744.5782255801087,3.2578655102078957,2.520022515232534,8.961775258054058,33.407739479582325,50.57471264367817,22.62870351771597,2.7627665711908502,-0.12493057564495971,22.114414801404248,261,573
top5,2020-02-22 08:00:00,2025-03-06 12:00:00,5739.93254401602,124.30152386893153,-24.387041613427417,235.36813669336726,3.0686442491893025,2.4088504344825004,5.09703168753735,30.661533251149837,51.867219917012456,6.041899596029133,2.289063236489826,-0.4082595102998004,5.606882825115036,241,548
top4,2020-02-26 08:00:00,2025-03-06 12:30:00,3648.705659972853,105.71942019704869,-19.782602930368377,184.4401200800379,2.910955542329762,2.0281612102305018,5.344060160797054,30.383448618087744,45.83333333333333,9.875757577901066,2.1781986664728223,-0.1866278272613164,11.671349864792173,240,553
top6,2020-03-13 12:00:00,2025-03-06 09:00:00,2937.700254870624,98.5429761251736,-16.015196908064343,183.43204093802714,3.314205166480866,2.1946329548822936,6.153091759711861,28.24846623583847,43.96135265700483,9.482125430560863,2.0756916891828667,-0.17172777920950782,12.087104944451204,207,509
top7,2020-07-07 08:00:00,2025-03-06 16:30:00,2222.1981544811333,96.31365334209853,-24.17251650272686,91.9307741182202,2.812986845503749,2.094249650298376,3.98442807273432,33.62373409875173,44.776119402985074,4.655751952570168,2.392044302469337,-0.4165804794024438,5.742094074836538,201,449
top9,2020-08-12 08:00:00,2025-03-08 17:45:00,646.790439125505,55.27229578253081,-16.1802179684159,39.97414870356213,2.7343017421014113,1.8890089632622609,3.416041482903593,28.959731507368886,47.44525547445255,10.149036580407316,2.296378732511767,-0.2042676339422479,11.242009750605016,137,352
top8,2020-07-23 09:00:00,2025-03-06 13:00:00,601.1537516897154,52.449442721927156,-19.096836408816166,31.47923241423324,2.51365147544868,1.6110242028905506,2.7464990325682197,27.155975265957316,41.14285714285714,4.643759436880044,2.0393399788120217,-0.30698361162291143,6.643155861092285,175,405
top10,2020-08-08 08:00:00,2025-03-04 17:45:00,229.73017561730148,29.83617833362009,-30.426456633566644,7.5503427291583405,1.4499800278363995,0.8884258755827883,0.9805998343134259,37.98521549060992,38.16793893129771,2.230400756612185,2.4745779838787416,-0.6848622470516958,3.613249225711739,131,337
